date,open,high,low,close,volume,adjusted,target,price_rise
2024-11-27,206.979995727539,207.639999389648,205.050003051758,205.740005493164,28008000,205.740005493164,,0
2024-11-26,201.899993896484,208.0,201.789993286133,207.860000610352,41673700,207.860000610352,-2.119995117187983,0
2024-11-25,199.279998779297,201.949996948242,199.0,201.449996948242,40685700,201.449996948242,6.41000366211,1
2024-11-22,198.25,199.259994506836,196.75,197.119995117188,31530800,197.119995117188,4.330001831053977,1
2024-11-21,203.490005493164,203.490005493164,195.75,198.380004882812,58800000,198.380004882812,-1.2600097656239768,0
2024-11-20,202.979995727539,203.130004882812,199.449996948242,202.880004882812,32769000,202.880004882812,-4.5,0
2024-11-19,199.330001831055,205.300003051758,198.779998779297,204.610000610352,31197900,204.610000610352,-1.7299957275400004,0
2024-11-18,204.149993896484,204.669998168945,200.949996948242,201.699996948242,36512500,201.699996948242,2.9100036621100003,1
2024-11-15,206.759994506836,207.339996337891,199.610000610352,202.610000610352,86591100,202.610000610352,-0.9100036621100003,0
2024-11-14,214.160003662109,215.899993896484,210.880004882812,211.479995727539,42620300,211.479995727539,-8.869995117187017,0
2024-11-13,209.399993896484,215.089996337891,209.139999389648,214.100006103516,46212900,214.100006103516,-2.620010375976989,0
2024-11-12,208.369995117188,209.539993286133,206.009994506836,208.910003662109,38942900,208.910003662109,5.190002441406989,1
2024-11-11,208.5,209.649993896484,205.589996337891,206.839996337891,35456000,206.839996337891,2.070007324218011,1
2024-11-08,209.720001220703,209.960006713867,207.440002441406,208.179992675781,36075800,208.179992675781,-1.3399963378899997,0
2024-11-07,207.440002441406,212.25,207.190002441406,210.050003051758,52878400,210.050003051758,-1.8700103759770172,0
2024-11-06,200.009994506836,207.550003051758,199.139999389648,207.089996337891,72292200,207.089996337891,2.960006713867017,1
2024-11-05,196.039993286133,199.820007324219,195.990005493164,199.5,30564800,199.5,7.5899963378909945,1
2024-11-04,196.449996948242,197.330001831055,194.309997558594,195.779998779297,38492100,195.779998779297,3.7200012207030113,1
2024-11-01,199.0,200.5,197.020004272461,197.929992675781,99687800,197.929992675781,-2.1499938964840055,0
2024-10-31,190.509994506836,190.600006103516,185.229995727539,186.399993896484,75146800,186.399993896484,11.529998779296989,1
2024-10-30,194.699996948242,195.610000610352,192.419998168945,192.729995727539,37707600,192.729995727539,-6.330001831055,0
2024-10-29,188.580001831055,191.460006713867,187.820007324219,190.830001831055,35690200,190.830001831055,1.8999938964840055,1
2024-10-28,189.570007324219,190.210006713867,188.210006713867,188.389999389648,27930800,188.389999389648,2.440002441406989,1
2024-10-25,187.850006103516,190.449996948242,187.529998779297,187.830001831055,29362100,187.830001831055,0.559997558593011,1
2024-10-24,185.25,187.110000610352,183.860000610352,186.380004882812,21647400,186.380004882812,1.4499969482430117,1
2024-10-23,188.850006103516,189.160003662109,183.690002441406,184.710006713867,31937100,184.710006713867,1.6699981689449999,1
2024-10-22,188.350006103516,191.520004272461,186.979995727539,189.699996948242,29650600,189.699996948242,-4.989990234375,0
2024-10-21,188.050003051758,189.460006713867,186.399993896484,189.070007324219,24639400,189.070007324219,0.6299896240229828,1
2024-10-18,187.149993896484,190.740005493164,186.279998779297,188.990005493164,37417700,188.990005493164,0.08000183105500014,1
2024-10-17,188.220001220703,188.940002441406,186.0,187.529998779297,25039400,187.529998779297,1.460006713867017,1
2024-10-16,187.050003051758,187.779998779297,185.610000610352,186.889999389648,23456800,186.889999389648,0.6399993896489775,1
2024-10-15,187.630004882812,188.410003662109,184.580001831055,187.690002441406,32178900,187.690002441406,-0.800003051757983,0
2024-10-14,189.779998779297,189.830001831055,187.360000610352,187.539993286133,22614400,187.539993286133,0.15000915527298275,1
