date,sentiment,impact,positive,negative,sentiment_score,news_tkids
2024-11-26,0.8,0.6,True,False,0.999842643737793,"[3, 30797, 3889, 15887, 18775, 680, 6, 775, 2, 20, 30842, 15966, 2732, 688, 30690, 2083, 1530, 30694, 28767, 1781, 48, 6969, 585, 3372, 30842, 15966, 246, 1421, 9, 5430, 797, 23, 30802, 2083, 1530, 30755, 28767, 9335, 1280, 4]"
2024-11-13,1.0,0.4,False,False,0.9994051456451416,"[3, 30797, 3889, 15887, 11289, 20543, 2, 2, 2, 8, 30813, 26896, 687, 30755, 7717, 4345, 22969, 718, 2376, 23, 30761, 14702, 8370, 1940, 115, 30708, 5250, 17579, 513, 585, 859, 4114, 7, 2359, 610, 2197, 1754, 48, 30813, 4]"
2024-11-13,0.8,0.4,False,False,0.9966903924942015,"[3, 30797, 3889, 15887, 18775, 28074, 2, 2, 7, 12685, 585, 20, 2, 2, 2, 2, 7, 2, 30797, 30708, 6615, 1423, 2, 2, 8, 11, 2, 14, 2, 14769, 6, 909, 2748, 48, 2, 26857, 15429, 1071, 25180, 4]"
2024-10-31,0.6,0.6,True,False,0.9998317956924438,"[3, 30797, 3889, 15887, 2, 253, 2, 12685, 39, 83, 20, 46, 45, 690, 1331, 739, 9, 30805, 10158, 48, 1431, 227, 48, 30868, 24770, 55, 1851, 9, 30805, 1916, 48, 973, 227, 585, 129, 23, 30805, 1331, 48, 4]"
2024-10-30,0.8,0.4,True,False,0.9993188381195068,"[3, 30846, 12585, 445, 2, 30846, 30689, 30694, 30693, 3810, 30700, 3889, 15887, 2, 30802, 19877, 63, 2, 11, 661, 1647, 9, 1713, 243, 1347, 5495, 8, 4333, 2527, 341, 1075, 610, 6, 30739, 19862, 251, 30802, 10606, 63, 4]"
2024-10-29,0.6,0.4,False,False,0.9810051321983336,"[3, 2, 30708, 19251, 30813, 15029, 585, 11, 637, 22591, 463, 170, 79, 2596, 8, 30797, 3889, 15887, 1926, 585, 49, 327, 33, 967, 2793, 9, 30797, 3889, 15887, 63, 2, 7, 30708, 10603, 15363, 63, 6907, 2055, 94, 4]"
2024-10-24,1.0,0.4,True,False,0.9964105486869812,"[3, 2, 680, 33, 1643, 661, 1647, 9, 1713, 18145, 7617, 2, 1763, 14, 4768, 48, 2, 175, 110, 212, 603, 4580, 2328, 115, 30700, 3889, 15887, 2, 585, 1678, 20, 30797, 17562, 12114, 8877, 30813, 26532, 2578, 8, 4]"
2024-10-23,1.0,0.4,True,False,0.9981639981269836,"[3, 30797, 3889, 15887, 18775, 680, 11, 56, 998, 1017, 370, 14, 30842, 15966, 246, 1421, 585, 859, 30805, 3859, 48, 685, 126, 8605, 1017, 3733, 117, 1181, 585, 18656, 3094, 585, 30797, 30264, 688, 585, 8, 10988, 505, 4]"
2024-10-22,0.8,0.4,True,False,0.9994283318519592,"[3, 2, 2, 2, 48, 2, 2, 49, 13349, 17405, 251, 38, 661, 1647, 20, 30797, 3889, 15887, 2, 30802, 19877, 63, 2, 962, 2870, 14, 39, 99, 48, 2, 2138, 377, 30842, 22299, 23483, 585, 11, 341, 722, 4]"
2024-10-17,0.6,0.4,False,False,0.9896154403686525,"[3, 30797, 3889, 15887, 48, 6969, 2, 49, 680, 41, 36, 871, 11, 748, 347, 9, 1982, 38, 11437, 4446, 47, 12685, 39, 2, 585, 30868, 22719, 4459, 2231, 585, 12685, 585, 28, 1722, 4154, 48, 1276, 48, 2, 4]"
